"Sale","InStrSpending","Discount","TVSpending","StockRate","Price","Radio","OnlineAdsSpending"
31616,20.85,0.35,30.41,0.31,26.86,2510,2146.33
170481,7.7,0.28,113.55,0.5,5.46,2541,1758.12
215805,4.86,0.28,186.54,0.66,3.6,109,900.73
161191,42.41,0.32,115.34,0.13,22.64,2467,1431.37
147814,23.06,0.12,189.35,0.43,23.14,2259,1376.46
178450,44.25,0.39,53.48,0.1,16.28,2354,2157.74
58197,10.52,0.19,49.93,0.95,18.55,2857,1418.01
281975,58.11,0.05,96.43,0.17,10.41,771,2734.45
157750,41.85,0.48,57.15,0.41,18.36,2140,1134.55
224778,40.87,0.07,71.06,0.62,7.42,779,1194.73
173798,23.03,0.49,116.65,0.75,11.68,1152,856.54
144527,41.56,0.13,160.88,0.18,29.58,1848,960.21
97877,9.6,0.03,177.24,0.11,24,122,1139.82
206207,55.86,0.07,33.47,0.06,14.78,982,1313.6
183642,7.28,0.11,72.51,0.29,0.14,1928,1518.25
95580,39.05,0,28.6,0.06,23.98,2725,3045.45
130416,36.62,0.41,159.66,0.2,29.99,1687,1283.11
160092,49.07,0.14,30.74,0.16,18.88,2102,963.76
250925,47.85,0.23,179.07,0.1,18.29,476,226.23
286298,42.49,0.33,157.86,0.7,7.26,545,674.44
322027,41,0.14,171.75,0.59,3.04,2945,2933.62
134781,29.27,0.45,68.42,0.78,16,1574,403.64
118446,7.87,0.03,100.02,0.25,12.85,2058,2154.94
148058,34.93,0.45,182.76,0.87,26.92,1016,2009.7
150200,13.21,0.26,108.85,0.63,10.13,1016,224.22
235796,22.33,0.2,106.31,0.96,0.39,65,677.75
72485,10.45,0.24,10.07,0.25,13.53,1449,2287.03
50082,7.9,0.14,131.63,0.6,25.85,501,1414.61
63653,28.88,0.39,42.49,0.05,26.99,838,3032.21
132285,47.09,0.15,16.83,0.85,19.54,1096,1730.65
42416,9.82,0.01,35.85,0.54,19.56,1281,615.41
47847,12.34,0.46,70.16,0.28,24.09,350,256.2
46680,0.7,0.3,158.55,0.66,26.32,67,1093.03
257518,41.33,0.17,100.49,0.2,6.93,2283,1035.28
118455,36.46,0.1,79.81,0.48,22.82,2726,2302.04
249445,52.6,0,54.4,0.55,8.04,370,1228.86
108707,32.02,0.22,93,0.02,24.68,257,434.01
250996,21.32,0.21,108.06,0.09,0.39,2202,1820.55
137962,14.33,0.1,3.02,0.13,4.23,2942,3135.86
119786,46.6,0.02,85.79,0.4,28.62,1166,559.31
214070,37.38,0.15,138.47,0.76,13.75,1074,514.75
98296,24.25,0.36,139.93,0.36,26.73,276,599.51
72157,0.19,0.36,80.04,0.74,14.62,1272,1171.29
14269,8.53,0.45,68.68,0.35,28.15,1036,2823.81
212235,39.37,0.14,122.37,0.81,13.6,2824,3095.45
217948,53.05,0.47,101.1,0.89,16.83,1749,1211.85
63900,12.64,0.21,54.39,0.6,19.3,2607,1368.13
283028,56.68,0.03,118.63,0.33,11.29,1094,910.96
119731,5.36,0.03,176.6,0.23,18.7,873,3010.4
250916,59.26,0.3,62.77,0.83,11.24,432,323.73
279656,42.33,0.27,124.26,0.64,5.45,377,990.28
152208,32.88,0.03,166.19,0.99,23.66,2442,860.36
166535,58.16,0.46,6.23,0.57,18.87,1492,1832.87
170712,3.62,0.21,154.56,0.52,7.51,100,2074.42
114963,37.03,0.32,49.8,0.17,22.53,61,1140.99
343367,52.08,0.36,144.92,0.73,2.41,716,1821.54
90771,29.37,0.24,10.37,0.06,21.24,442,745.21
225912,36.11,0.33,161.68,0.74,13.57,28,2705.63
9036,5.74,0.32,74.29,0.31,28.49,1968,1982.66
55609,5.22,0.32,134.57,0.68,24.54,2399,3140.43
60247,16.45,0.14,45.97,0.75,20.03,593,1166.61
289753,51.09,0.15,87.64,0.71,4.59,1399,875.73
189490,19.62,0.15,114.61,0.74,7.78,485,2529.64
252883,48.36,0.04,16.55,0.01,3.41,2299,3154.99
227072,12.94,0.24,139.43,0.42,1.69,693,2565.84
194077,39.47,0.28,119.86,0.14,17.5,1553,2506.11
175813,43.99,0.29,187.81,0.23,28.24,688,2428.38
136226,59.26,0.03,57.53,0.39,29.1,142,2186.97
118408,28.48,0.3,161.33,0.68,26.87,2475,2430.46
192619,40.81,0.41,85.52,0.36,14.68,2305,2548.45
151071,4.14,0.15,78.91,0.33,4.1,1239,1776.95
178632,28.86,0.49,131.9,0.23,16.25,2933,2997.02
260823,48.89,0.17,92.85,0.78,8.12,306,42.5
236175,52.65,0.31,2.75,0.41,5.6,2104,3085.93
298304,32.86,0.25,141.75,0.12,0.76,1013,1596.7
136020,37.99,0.03,112.68,0.8,23.17,919,1851.4
143800,9.01,0.36,42.94,0.11,4.6,2272,2636.47
34991,20.47,0.48,6.01,0.01,24.41,2376,70.34
132598,6.3,0.3,164.28,0.58,15.05,2400,988.54
196352,47.1,0.14,180.48,0.4,25.39,48,1377.1
220949,36,0.12,125.69,0.81,10.78,2868,2641.41
135953,33.01,0.2,96.91,0.65,20.15,2318,2498.18
187656,7.1,0.1,114.79,0.55,2.48,2584,2541.23
178233,31.87,0.25,156.75,0.41,18.96,1320,2374.39
195409,36.84,0.1,92.8,0.91,12.03,1323,2988.91
85503,44.98,0.27,20.51,0.44,26.61,1362,1561.28
285650,55.37,0.06,185.83,0.14,17.15,1502,525.67
309813,35.89,0.36,194.94,0.4,5.26,1244,1678.95
169557,10.83,0.17,146.54,0.89,9.13,534,1297.51
194487,23.63,0.5,55.06,0.4,3.53,155,1157.33
230924,32.53,0.24,83.84,0.64,4.68,1005,1172.12
160106,18.38,0.37,30.09,0.12,4.93,639,1127.14
143668,42.5,0.17,126.05,0.12,27.25,1255,1518.51
132537,22.55,0.25,32.88,0.71,10.26,1787,1765.4
175255,47.21,0.27,131.73,0.34,23.92,1649,611.97
255333,52.1,0.23,8.07,0.55,2.74,1729,1340.59
139008,15.13,0.25,15.36,0.19,5.72,1074,2141.81
137653,15.59,0.43,32.09,0.53,6.79,193,1301.68
150156,59.69,0.15,62.38,0.32,27.89,441,1594.21
191037,55.25,0.3,174.11,0.58,28.91,420,2855.9
120340,30.43,0.01,124.75,0.96,23.69,1151,1021.52
254624,58.15,0.27,149.68,0.43,19.09,1269,1907.34
281490,55.62,0.36,42.16,0.02,4.51,1104,2250.5
71342,24.81,0.37,46.5,0.56,23.07,1961,2570.15
82411,7.66,0.48,97.45,0.68,17.81,709,1307.84
347476,59.65,0.18,111.36,0.81,1.83,1158,266.42
50418,23.67,0.34,23.32,0.35,24.64,2416,2691.51
168790,19.62,0.27,167.63,0.67,15.83,744,103.91
211545,56.24,0.29,70.98,0.64,16.79,188,1789.24
82202,37.96,0.02,61.96,0.68,27.74,953,1352.6
130898,54.54,0.28,53.9,0.44,27.16,2744,2606.8
255252,49.05,0.16,89.81,0.7,8.55,324,23.55
226931,51.72,0.01,113.16,0.39,16.7,2850,1141.67
88686,24.09,0.35,106.26,0.06,25.67,862,251.23
72899,32.22,0.45,18.28,0.09,24.24,2313,1609.2
156886,32.7,0.29,51.07,0.33,13.22,1211,1583.44
129627,9.65,0.24,11.24,0.61,2.71,2135,756.72
175197,53.65,0.37,103.84,0.7,23.84,2413,2965.07
101119,0.56,0.25,183.28,0.34,19.58,1280,1792.37
217230,46.41,0.19,48.68,0.96,8.46,2198,1068.95
301850,47.69,0.48,138.79,0.23,6.73,2686,1484.6
206238,26.92,0.11,193.15,0.17,16.56,2900,871.41
90201,33.64,0.04,124.55,0.96,29.53,1448,116.29
185625,30.15,0.3,104.95,0.36,12.76,845,2993.67
28914,15.49,0.22,51.92,0.57,26.32,1847,762.68
235689,55.67,0.35,86.8,0.17,15.26,85,54.12
97031,24.56,0.15,44.47,0.19,18.93,1716,1300.26
393914,58.49,0.06,178.08,0.38,1.38,2635,2411.12
119643,1.28,0.04,52.86,0.2,5.55,2985,2628.71
108432,2.36,0.19,62.56,0.42,8.8,452,2728.14
158990,18.33,0.43,102.12,0.55,10.89,73,1474.28
274622,18.2,0.39,187.1,0.2,1.99,1848,2794.76
180023,38.2,0.48,115.37,0.88,17.5,2735,225.76
244496,7.96,0.14,175.47,0.08,1.12,2637,2576.38
292330,59.51,0.42,80.64,0.69,7.3,947,1798.75
102707,31.19,0.07,65.06,0.05,23.29,332,982.68
146176,25.67,0.44,173.22,0.58,21.87,468,2018.03
102803,13.1,0.49,30.97,0.77,10.75,1031,993.19
41789,7.95,0.17,135.48,0.78,27.88,309,1862.86
55088,18.68,0.34,55.67,0.27,24.39,306,394.62
124277,21.73,0.28,8.05,0.72,8.91,1717,2194.28
170390,20.05,0.3,179.59,0.43,16.63,2272,1552.23
169485,13.15,0.15,116.74,0.48,8.4,2986,503.05
87091,13,0.11,177.9,0.76,25.87,678,1759.61
139667,28.8,0.35,112.14,0.06,21.07,2718,2176.8
206986,38.98,0.48,191.52,0.34,21.4,477,822.89
95297,16.36,0.01,59.88,0.31,16.66,1860,2473.09
138118,27.08,0.4,134.73,0.59,20.76,2532,1575.57
193032,4.39,0.19,176.58,0.8,5.64,848,1638.2
35009,2.22,0.1,39.8,0.67,18.23,471,3098.65
268576,46.15,0.01,164.71,0.82,11.97,223,709.69
99872,26.04,0.47,46.76,0.85,17.92,1962,1318.46
169119,15.59,0.21,167.7,0,15.32,1321,532.92
168632,4.77,0.25,110.53,0.23,5.17,2436,2699.78
205285,50.52,0.49,85.22,0.04,17.91,2251,1831.31
124960,8.78,0.23,46.89,0.52,7.27,666,669.91
249394,51.07,0.04,148.58,0.73,15.56,1769,1858.46
186589,14.8,0.2,127.08,0.68,7.15,1444,1236.68
284110,55.69,0.38,186.75,0.04,17.42,2782,498.22
86494,42.54,0.33,42.1,0.17,28.62,797,2263.13
185336,26.21,0.36,67.49,0.73,7.39,1920,417.02
188486,30.76,0.26,167.96,0.93,16.84,2263,89.99
204376,44.61,0.42,100.53,0.38,16.07,2669,2795.31
76035,30.94,0.44,100.26,0.6,29.6,687,2083.11
123671,9.52,0.07,187.26,0.54,20.16,2976,1315.02
220972,59.2,0.25,97.02,0.34,19.5,2571,2463.14
310479,34.8,0.3,187.71,0.42,4.18,838,2445.11
114024,31.74,0.24,96.61,0.69,23.25,865,2098.63
140171,10.78,0.17,38.19,0.16,5.87,1484,2995.72
155919,4.41,0.08,179.58,0.54,12.38,1998,540.35
126932,1.15,0.29,132.7,0.19,11.52,1089,2453.92
184412,43.77,0.43,174.14,0.77,24.57,2164,1106.01
137290,2.89,0.1,141.03,0.4,11.25,1733,1639.23
154552,53.88,0.24,77.12,0.9,24.32,757,669.78
278912,41.71,0.04,90.8,0.39,2.28,1061,311.61
183431,40.81,0.18,151.74,0.9,21.11,2911,1747.99
147369,37.91,0.09,31.9,0.44,15.36,138,2764.13
366558,48.18,0,193.55,0.57,1.69,1992,163.92
61410,5.49,0.22,147.74,0.92,24.11,69,3127.8
273008,44.21,0.16,168.02,0.24,11.9,1755,57.86
166722,32.15,0.34,174.13,0.5,22.42,907,1683.03
187806,20.51,0.11,57.84,0.67,3.4,861,23.88
147678,36.21,0.27,44.54,0.44,15.77,847,325.91
5483,4.35,0.32,13.81,0.44,22.22,615,1083.22
169798,29.32,0.37,135.39,0.11,18.19,2745,1554.83
221390,33.32,0.13,124.09,0.28,10.68,428,2617.03
261429,43.41,0.08,161.02,0.27,12.52,2330,3155.77
219260,14.21,0.35,164.48,0.29,6.39,1545,1741.2
197033,5.35,0.02,152.12,0.71,3.59,2022,618.69
16825,14.16,0.19,64.61,0.19,29.72,2964,976.32
177071,25.69,0.12,25.2,0.67,3.84,2558,2042.32
129934,5.73,0.14,133.44,0.22,13.12,102,2304.36
355017,53.65,0.07,132.33,0.27,1.23,2205,2645.98
105098,41.78,0.17,55.26,0.99,24.25,2825,602.57
256235,58.54,0.42,25.1,0.25,7.74,868,768.78
85286,36.38,0.25,13.23,0.54,23.08,472,2656.65
297762,53.53,0.4,68.79,0.23,3.82,1075,1024.96
52647,21.61,0.03,34.14,0.85,22.36,1439,778
194690,32.4,0.42,37.13,1,5.23,942,460.4
177533,10.19,0.22,177.62,0.65,11.16,2084,1474.15
165427,11.11,0.13,134.54,0.57,11.24,1094,1581.99
63009,20.37,0.06,73.91,0.83,23.86,181,2632.5
203825,0.38,0.34,152.89,0.31,1.22,2953,1619.34
87100,3.89,0.2,24.08,0.92,7.74,1365,2782.53
142538,31.1,0.5,196.11,0.33,28.42,86,2105.44
104670,15.28,0.22,131.41,0.24,21.6,1397,1111.32
151747,58.19,0.35,7.8,0.1,22.52,2575,764.3
202653,9.23,0.49,122.66,0.58,2.31,1074,848.55
208428,38.17,0.14,10.12,0.19,4.99,1081,1439.37
99898,16.93,0.44,32.27,0.6,13.38,959,2097.4
148797,13.98,0.03,84.55,0.33,9.35,2827,312.35
123394,20.98,0.26,51.93,0.82,12.72,1882,1572.26
311136,34.92,0.22,179.13,0.4,2.92,662,1315.61
61962,37.57,0.26,34.34,0.93,27.85,899,2485.83
102664,0.3,0.06,112.68,0.24,13.25,880,262.2
243261,11.75,0.31,170.51,0.55,1.36,422,498.72
99663,2.74,0.06,70.88,0.62,10.17,56,826.56
96528,8.01,0.27,163.46,0.55,21.85,1391,2421.73
101212,9.14,0.38,8.01,0.66,7.27,2374,2072.7
120277,8.23,0.32,176.92,0.8,18.73,2463,2308.64
127393,22.4,0.1,121.37,0.69,18.6,1520,174.43
110699,37.09,0.13,90.26,0.16,26.7,283,3030.89
199366,2.49,0.38,152.46,0.6,2.74,2738,2898.92
121057,52.85,0.17,12.8,0.85,22.85,2276,1933.77
107868,50.95,0.39,2.43,0.41,25.99,815,469.17
214058,51.73,0.48,12.51,0.7,9.54,1041,2611.06
194902,46.79,0.14,132.84,0.58,20.73,524,27.58
200610,54,0.25,91.92,1,18.61,2156,2943.34
299259,26.37,0.39,189.43,0.42,1.9,65,2011.21
37010,1.87,0.43,11.55,0.91,14.78,1385,1655.27
122626,24.59,0.17,78.58,0.2,18.09,1908,1582.71
94807,19.48,0.48,59.99,0.99,17.1,2689,3100.21
310528,37.48,0,164.14,0.89,1.64,2201,2497.51
49246,2.12,0.21,50.23,0.31,17.49,455,2141.29
50439,12.03,0.26,138.41,1,28.08,1510,678.66
313444,58.87,0.03,52.05,0.99,0.5,176,2725.06
305355,54.74,0.01,159.25,0.06,11.65,1191,406.75
128926,13.8,0.02,121.55,0.56,15.08,1201,2273.35
248667,58.26,0.03,66.49,0.83,10.99,1177,2928.93
352197,41.54,0.22,181.22,0.36,1.74,2404,2917.71
215891,33.94,0.16,107.67,0.83,9.03,231,556.68
196353,43.32,0.33,79.03,0.92,13.08,1471,376.01
258744,40.01,0.14,88.46,0.92,3.03,2526,863.18
267387,52.29,0.22,101.13,0.19,10.48,2159,2774.44
206466,36.21,0.26,131.81,0.74,13.91,2556,1686.42
207978,45.74,0.4,107.19,0.36,16.62,638,435.38
292916,58.63,0.2,91.03,0.13,8.57,1080,1559.6
78143,11.28,0.14,166.59,0.3,26.89,437,1185.57
107761,18.19,0.18,79.57,0.72,16.11,1101,1721.9
233621,43.06,0.36,39.28,0.73,4.56,2440,1120.02
286282,38.31,0.23,178.17,0.73,7.32,1420,1430
103188,6.98,0.37,4.99,0.67,5.6,1075,2271.16
103013,13.9,0.19,50.62,0.04,14.17,2283,2026.17
72042,49.04,0.35,1.67,0.88,28.88,2051,231.08
82517,12.91,0.34,181.84,0.44,28.19,2488,2821.23
267703,57.78,0.04,172.93,0.4,18.54,640,2010.26
217186,8.38,0.48,141.48,0.07,2.52,2867,2247.68
97194,3.68,0.26,143.21,0.46,17.87,1130,2400.51
8549,5.63,0.27,105.54,0.83,29.6,445,12.54
153664,26.75,0.43,149.67,0.54,19.91,1131,2562.62
151333,27.69,0.49,2.16,0.56,7.55,831,857.75
125102,32.51,0.12,159.34,0.81,28.52,479,2927.47
65392,25.92,0.38,6.53,0.95,19.91,2650,2536.13
83589,3.74,0.15,185.73,0,25.25,1548,1053.04
260449,24.76,0.15,161.09,0.34,4.2,2078,1707.14
138225,5.58,0.45,5.15,0.26,0.67,1820,413.01
288275,45.16,0.12,129.86,0.01,7.26,2734,2837.11
194818,23.96,0.48,184.15,0.33,15.98,1219,1847
76885,16.14,0.39,40.86,0.12,18.45,2682,749.84
190049,59.48,0.4,35.1,0.21,19.23,2760,210
229244,25.27,0.43,83.93,0.63,1.41,282,273.29
190964,40.36,0.38,42.33,0.22,11.23,2268,3198.27
78242,21.21,0.4,61.29,0.72,21.12,2688,303.52
214545,48.71,0.2,91.82,0.55,14.95,1893,745.29
201878,54.93,0.01,13.67,0.3,12.96,1032,935.2
210985,20.22,0.45,180.19,0.95,10.22,402,112.51
225967,59.08,0.22,21.17,0.31,12.02,229,275.57
191353,58.55,0.41,156.39,0.81,28.65,1533,3079.48
110777,41.7,0.05,50.65,0.65,24.28,2347,510.93
182498,10.49,0.27,165.37,0.37,9.71,813,1082.78
207760,31.06,0.14,15.14,0.6,1.08,1868,2904.84
310338,43.98,0.44,164.89,0.08,6.15,2794,2944.12
90600,15.41,0.14,29.46,0.43,14.06,2243,827.38
40835,9.53,0.4,42.23,0.57,20.84,748,788.31
105004,17.57,0.01,44.25,0.5,13.57,1015,167.47
179119,1.99,0.24,180.35,0.35,8.6,1388,2641.71
121121,49.48,0.41,74.22,0.34,28.87,737,1426.84
199495,4.9,0.21,160.9,0.41,4.69,1443,478.02
307291,43.59,0.41,125.96,0.03,2.98,258,1344.8
229134,27.11,0.46,172.44,0.86,10.45,2901,1484.19
243574,20.87,0.27,184.15,0.13,7.55,2104,2267.47
258589,57.95,0.26,122.29,0.25,15.98,1872,1696.17
115744,47.93,0.47,57.49,0.56,26.84,1108,2166.8
250698,41.13,0.44,67.44,0.16,5.08,1008,2344.36
94206,27.13,0.02,46.4,0.34,20.18,1545,2798.07
314584,53.16,0.43,147.58,0.41,7.76,962,2058.97
205466,2.17,0.1,153.89,0.05,2.61,2603,2294.98
157453,25.53,0.33,143.28,0.35,18.48,2341,2799.25
209804,34.02,0.11,3.83,0.91,0.36,1216,1728.7
139837,40.06,0.43,160.56,0.48,29.79,551,2378.73
174375,30.94,0.41,198.14,0.55,22.85,68,2954.52
336375,45.66,0.43,140.43,0.41,0.46,2624,2296.2
160088,6.42,0.32,176.34,0.81,11.6,1624,63.91
179260,22.92,0.18,95.47,0.2,10.06,2607,643.76
130072,20.07,0.47,117.67,0.96,16.99,1148,2748.74
231910,17.85,0.3,111.41,0.36,0.81,2004,3056.56
59277,10.08,0.45,107.6,0.67,23.51,1903,1079.93
236070,27.28,0.3,116.19,0.68,4.29,1168,1204.03
19264,9.57,0.36,13.29,0.94,21.44,1332,2791.66
146571,59.69,0.4,51.74,0.3,27.23,2603,2910.61
171855,33.31,0.08,146.3,0.39,20.04,207,2261.77
219391,27.02,0.19,125.47,0.51,7.57,2497,1157.66
164960,3.51,0.13,151.46,0.34,8.22,372,1300.37
142774,25.57,0.48,100.3,0.93,15.69,258,637.3
30270,10.02,0.33,3.08,0.61,19.13,1777,857.59
114085,18.97,0.08,152.87,0.1,23.75,1467,2312.59
162156,35.67,0.25,72.28,0.78,14.78,1789,3119.23
36176,8.12,0.2,10.26,0.65,17.71,2542,421.47
15551,0.73,0.1,113.59,0.63,27.67,1860,1895.98
299105,39.56,0.43,160.2,0.42,5.45,1614,177.15
243359,26.63,0.42,199.13,0.4,11.12,1401,2567.28
208125,1.82,0.29,188.34,0.87,3.34,1847,327.46
146499,25.05,0.23,40.53,0.63,9.93,459,559.3
121134,39.07,0.44,31.24,0.52,19.48,2679,346.88
125676,41.27,0.44,71.38,0.13,24.52,2880,745.66
283817,38.46,0.01,154.55,0.94,5.13,1191,1503.37
200798,18.44,0.48,151.86,0.91,8.2,2332,1287.23
250838,38.45,0.06,147.81,0.79,9.67,1371,2376.44
223061,50.39,0.17,5.73,0.29,7.36,2970,2863.19
96264,29.29,0.22,57.59,0.25,22.32,1093,1904.89
110749,20.77,0.13,150.15,0.27,24.51,2371,1490.32
219589,28.04,0.25,136.02,0.06,9.76,751,809.08
46438,5.09,0.3,131.74,0.32,26.16,2397,1654.82
137079,56.03,0.19,2.88,0.18,22.57,1381,1128.09
210989,54.11,0.42,65.36,0.19,16.28,478,3036.13
240951,49.55,0.33,88.78,0.51,11.03,881,461.8
169680,29.79,0.25,90.01,0.6,13.04,2810,486.34
387063,48.34,0.11,199.53,0.14,0.33,579,2269.75
98047,45.93,0.09,16.7,0.98,23.98,627,2584.65
197392,33.05,0.33,121.35,0.68,12.81,755,1095.12
148897,12.72,0.48,124.8,0.56,12.1,1388,2061.48
69181,13.43,0.09,142.81,0.07,27.89,1586,2930.61
314438,39.53,0.38,166.57,0.27,4.68,2666,1601.98
203010,32.37,0.43,35.87,0.87,3.66,2569,1353.42
198736,29.22,0.21,77.46,0.01,8.4,2667,1611.9
217594,26.36,0.46,95.12,0.35,5.34,1134,598.1
184906,57.39,0.4,59.27,0.12,21.22,1115,1543.98
33873,7.73,0.31,4.38,0.09,18.97,1781,299.39
183139,42.85,0.04,74.51,0.48,15.49,1796,2983.25
146204,2.2,0.2,199.78,0.25,15.16,2867,826.33
64612,12.06,0.04,0.13,0.33,13.88,2427,1175.49
197909,17.84,0.28,86.55,0.24,4.18,1989,1806.7
36679,11.85,0.13,112.44,0.14,29.91,2658,1169.17
253951,57.91,0.45,123.91,0.39,16.49,2651,1577.7
341853,44.25,0.45,187.66,0.07,4.58,2228,1992.24
245231,33.58,0.24,170.99,0.21,11.27,196,2469.88
161398,14.02,0.35,185.42,0.96,15.1,815,1447.09
259226,36.9,0.32,161.14,0.38,10,348,31.9
264033,38.23,0.4,165.31,0.29,10.37,2697,2596.69
196377,18.62,0.45,83.85,0.41,4.2,188,2814.06
100723,34.05,0.1,77.88,0.57,24.68,1065,2720.42
178087,7.85,0.3,111.47,0.05,5.32,2715,341.83
112094,23.49,0.21,134.22,0.76,22.91,2311,1861.08
150658,29.54,0.21,132.39,0.4,20.49,706,2714.25
56382,8.55,0.32,66.73,0.13,21.06,2997,2594.99
287277,39.53,0.2,129.73,0.55,3.56,24,1492.4
351931,48.04,0,193.61,0.4,3.81,2883,3047.23
275048,50.69,0.5,139.29,0.45,11.1,2757,785.45
161104,53.2,0.39,94.19,0.12,26.32,2777,1233.77
4863,1.95,0.42,82.39,0.12,29,25,1966.4
82470,44.14,0.23,27.09,0.67,27.43,2601,2046
246811,39.1,0.33,78.21,0.02,5.86,759,269.48
299260,47.65,0.19,198.07,0.05,12.76,1417,373.59
327527,52.75,0.45,117.52,0.75,1.91,2300,2799.18
122722,42.54,0.47,44.02,0.83,21.78,2725,44.85
151747,13.47,0.1,48.4,0.5,4.84,919,3089.44
5620,1.07,0.44,54.22,0.6,24.46,739,2912.63
74832,22.11,0.3,46.84,0.32,21.67,2686,3150.64
108466,8.93,0.15,65.04,0.55,11.39,2580,1452.67
206679,36.43,0.18,148.33,0.98,14.76,2475,689.48
111832,38.52,0.3,97.88,0.21,27.8,1105,2676.13
38196,0.73,0.13,62.78,0.68,18.83,2785,1648.62
315591,52.08,0.44,117.39,0.8,3.51,48,3124.77
200703,29.9,0.48,34.19,0.76,3.53,158,2321.5
28181,5.32,0.41,4.74,0.4,18.02,2887,442.87
148487,57.4,0.08,66.88,0.12,27.52,1354,810.24
304892,55.99,0.35,173.68,0.75,11.49,675,2901.97
345908,59.83,0.46,122.11,0.06,4.82,2641,2299.84
194620,50.52,0.02,80.64,0.92,16.95,491,1942.31
62384,7.77,0.44,42.88,0.71,16.18,2086,958.15
33131,23.86,0.15,48.31,0.36,29.19,1540,2489.55
148908,53.32,0.4,54.16,0.29,24.22,2007,320.5
220577,47.32,0.38,20.05,0.79,6.19,602,549.37
177686,27.76,0.04,115.76,0.05,14.2,855,2739.69
123079,44.18,0.16,65.33,0.36,24.79,18,779.09
146265,42.28,0.17,119.37,0.78,24.66,2194,848.15
268209,36.91,0.24,119.04,0.17,4.91,2087,152.9
221399,32.8,0.32,98.51,0.65,7.75,1607,385.54
320793,53.03,0.08,182.91,0.55,9.43,1579,343.84
121011,25.3,0.03,76.56,0.63,17.57,2429,405.77
232121,52.42,0.03,59.46,0.29,11.66,329,1822.39
189217,28.84,0.09,104.29,0.67,10.91,842,1589.58
174797,14.47,0.17,138.21,0.51,10.05,1969,2478.89
190238,47.73,0.08,70.24,0.86,15.96,1131,888.07
74472,35.12,0.49,48.3,0.38,27.16,545,67.68
123863,37,0.06,126.28,0.97,25.59,1244,251.61
212758,59.27,0.29,81.36,0.69,19,931,1602.81
118225,47.85,0.3,101.56,0.88,29.7,989,62.88
110748,47.14,0.4,7.88,0.75,22.14,2881,2420.34
135127,4.86,0.18,34.7,0.05,3.36,151,1466.26
57216,3.43,0.01,72.09,0.64,17.2,41,655.93
163470,18.06,0.39,165.71,0.69,15.89,791,1882.98
268114,38.35,0.16,172.89,0.18,10.53,1053,3020.05
96849,52.48,0.23,41.07,0.93,29.09,1420,1133.01
113309,15.59,0.07,82.24,0.04,16.31,1093,858.52
139411,13.6,0.37,37.05,0.91,5.31,959,2283.54
224263,48.02,0.14,57.14,0.18,10.93,1173,3093.09
181061,39.89,0,91.66,0.8,15.35,989,862.21
125801,4.17,0,43.74,0.75,3.62,2241,1820.2
308471,58.19,0.28,68.38,0.87,2.55,2656,363.67
303058,58.28,0.33,43.74,0.2,3.02,959,3040.89
388244,59.2,0.14,167.42,0.32,1.73,1216,571.26
188904,49.73,0.17,199.23,0.84,27.92,413,1034.06
128132,2.37,0.07,70.59,0.19,6.37,1410,2415.45
